Rank,Name,Symbol,marketcap,price (USD),country,sector
1594,Captor Therapeutics,CTX.WA,62043651,11.2221,Poland,biotech
1595,Tessellis,TSL.MI,62042448,0.155787,Italy,telecommunication
1596,Acanthe Développement,ACAN.PA,61808862,0.367862,France,real_state
1597,IBU-tec advanced materials AG,IBU.DE,60740979,12.7876,Germany,#N/D
1598,Fernheizwerk Neukölln,FHW.F,59628635,25.9255,Germany,energy
1599,Duro Felguera,MDF.MC,58927339,0.273853,Spain,#N/D
1600,cyan AG,CYR.DE,58733416,2.70933,Germany,sw
1601,BRAIN Biotech,BNN.DE,58681827,2.68597,Germany,biotech
1602,Rapala VMC Corporation,RAP1V.HE,58339120,1.50064,Finland,manufacturing
1603,Agile Content,AGIL.MC,58188154,2.54584,Spain,sw
1604,Balco Group,BALCO.ST,58069029,2.52237,Sweden,#N/D
1605,Dr. Hönle AG,HNL.DE,57765615,9.52937,Germany,manufacturing
1606,Cantourage Group SE,HIGH.DE,57510947,4.61287,Germany,#N/D
1607,Estoril Sol,ESON.LS,57126601,4.78804,Portugal,entertainment
1608,Groupe Berkem,ALKEM.PA,57095719,3.24336,France,#N/D
1609,Coheris SA,COH.PA,56968675,10.0199,France,sw
1610,M2i Formation,ALMII.PA,56625164,9.86804,France,#N/D
1611,Trophy Games,TGAMES.CO,56502817,2.10451,Denmark,entertainment
1612,Francotyp-Postalia Holding AG,FPH.DE,55832223,3.57351,Germany,manufacturing
1613,FORTEC Elektronik AG,FEV.DE,55799916,17.1669,Germany,#N/D
1614,Hydrogen-Refueling-Solutions,ALHRS.PA,55793484,3.62023,France,energy
1615,ecotel communication,E4C.DE,55508761,15.7655,Germany,telecommunication
1616,Cabka,7GW.F,55249721,2.11958,Germany,manufacturing
1617,Gentili Mosconi,GM.MI,55249329,2.90786,Italy,#N/D
1618,Alcadon Group AB,ALCA.ST,54582653,2.22686,Sweden,#N/D
1619,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier,ECK.DE,54369964,14.7145,Germany,clothing
1620,Forsee Power,FORSE.PA,53905071,0.461287,France,electricity
1621,Netel Holding,NETEL.ST,53553901,1.10393,Sweden,#N/D
1622,Fermentalg,ALGAE.PA,53448152,0.595586,France,biotech
1623,Toro Corp.,TORO,53024328,2.78,Cyprus,oil_gas
1624,MS Industrie,MSAG.DE,51727516,1.74004,Germany,investment
1625,People Can Fly,PCF.WA,51153424,1.42329,Poland,entertainment
1626,Wiener Privatbank,WPB.VI,50847096,10.16,Austria,bank
1627,Prodways Group,PWG.PA,49660034,0.98181,France,#N/D
1628,Artifex Mundi,ART.WA,48610988,4.08922,Poland,entertainment
1629,IT Link SA,ALITL.PA,47771440,27.4437,France,services
1630,OT Logistics,OTS.WA,47325491,3.61296,Poland,transportation
1631,Hutter &amp; Schrantz Stahlbau AG,HST.VI,47154619,31531,Austria,#N/D
1632,Müller - Die lila Logistik,MLL.DE,46918767,5.89747,Germany,transportation
1633,Wolftank-Adisa Holding,WOLF.VI,46259928,8.75861,Austria,#N/D
1634,LACROIX Group SA,LACR.PA,45931706,9.80965,France,manufacturing
1635,SGT German Private Equity,GAI.DE,45690791,0.986804,Germany,investment
1636,Elbstein AG,EBS.HM,45544786,1.51816,Germany,investment
1637,SHW AG,SW10.HM,45097816,7.00689,Germany,manufacturing
1638,edding AG,EDD3.F,44868943,41.8078,Germany,manufacturing
1639,Touax SCA,TOUP.PA,44641107,6.39963,France,#N/D
1640,Hvidbjerg Bank,HVID.CO,43639919,25.9738,Denmark,bank
1641,Orapi SA,ORAP.PA,43596174,6.69206,France,#N/D
1642,Berentzen-Gruppe,BEZ.DE,43551265,4.63623,Germany,#N/D
1643,GORE German Office Real Estate,GAG.DE,43246897,0.842199,Germany,investment
1644,RATH Aktiengesellschaft,RAT.VI,42041341,28.0276,Austria,#N/D
1645,Dierig Holding AG,DIE.DE,41687456,10.16,Germany,#N/D
1646,Delticom AG,DEX.DE,41568796,2.80276,Germany,ecommerce
1647,Lava Therapeutics,LVTX,40904740,1555,Netherlands,biotech
1648,GBK Beteiligungen AG,GBQ.HM,40596170,6.01425,Germany,investment
1649,Softing AG,SYT.DE,40106907,4.04064,Germany,services
1650,MAG Interactive,MAGI.ST,39566405,1.49337,Sweden,entertainment
1651,Asetek,ASTK.CO,39132786,0.123454,Denmark,#N/D
1652,Nanexa AB,NANEXA.ST,38253238,0.243794,Sweden,biotech
1653,Hoftex Group AG,NBH.MU,38151115,7.00689,Germany,manufacturing
1654,Adler Group,ADJ.DE,37362006,0.246409,Luxembourg,real_state
1655,Mentice AB,MNTC.ST,37291979,1.4406,Sweden,sw
1656,Hunyvers,ALHUN.PA,36639661,9.48266,France,retail
1657,Halloren Schokoladenfabrik,H2RB.HM,36573839,6.18942,Germany,food
1658,Netgem,ALNTG.PA,36345482,1.08607,France,entertainment
1659,Graines Voltz,GRVO.PA,36302067,24.5241,France,#N/D
1660,Mural Oncology,MURA,35775712,2065,Ireland,biotech
1661,DATRON AG,DAR.DE,35134224,8.87539,Germany,manufacturing
1662,PAL Next AG,PAL.DE,34967327,1.36634,Germany,entertainment
1663,Varengold Bank AG,VG8.DE,33822668,3.36779,Germany,bank
1664,Artmarket.com,PRC.PA,33406545,4.99825,France,#N/D
1665,FC Porto,FCP.LS,33370165,1.48313,Portugal,#N/D
1666,Poulaillon,ALPOU.PA,33127077,6.48137,France,food
1667,Lilium,LILM,32897334,52,Germany,manufacturing
1668,KPS AG,KSC.DE,32776539,0.79645,Germany,services
1669,STS Group,SF3.DE,32690646,5.06832,Germany,manufacturing
1670,Natuzzi,NTZ,32629650,2.9624,Italy,#N/D
1671,genOway,ALGEN.PA,32275207,3.50345,France,biotech
1672,Warimpex Finanz- und Beteiligungs AG,WXF.VI,32222551,0.618942,Austria,investment
1673,SW Umwelttechnik Stoiser &amp; Wolschner AG,SWUT.VI,32217636,44377,Austria,#N/D
1674,HWA AG,H9W.DE,32004919,3.26988,Germany,manufacturing
1675,Starbreeze,STAR-B.ST,31966987,0.0191236,Sweden,entertainment
1676,BigBen Interactive,BIG.PA,31491611,1.68399,France,entertainment
1677,Iterum Therapeutics,ITRM,31291090,0.7007,Ireland,biotech
1678,Innovatec,INC.MI,30917877,0.320565,Italy,energy
1679,Aquaporin,AQP.CO,30500026,1.31121,Denmark,#N/D
1680,GenSight Biologics,SIGHT.PA,29400787,0.188252,France,biotech
1681,Trinity Biotech,TRIB,29065918,1.56,Ireland,biotech
1682,Pyxis Tankers,PXS,28385332,2707,Greece,energy
1683,Delignit AG,DLX.DE,28228497,2.75604,Germany,manufacturing
1684,U10 Corp,ALU10.PA,28207635,1.64078,France,#N/D
1685,SM Wirtschaftsberatungs AG,SMWN.DE,27952575,7.12367,Germany,investment
1686,AURES Technologies,ALAUR.PA,27810461,7.0567,France,#N/D
1687,CS Diagnostics,CSDX,27468000,0.2,Germany,#N/D
1688,Wedia SA,ALWED.PA,27123623,31.7526,France,sw
1689,Nebelhornbahn-Aktiengesellschaft,NHB0.MU,26841060,19.8529,Germany,transportation
1690,All in! Games,ALG.WA,26494263,0.350348,Poland,entertainment
1691,Top Ships,TOPS,26276816,5.68,Greece,oil_gas
1692,Ebusco Holding,EBUS.AS,25564732,0.373934,Netherlands,manufacturing
1693,Veganz Group,VEZ.DE,25330854,17.8676,Germany,food
1694,Biosynex,ALBIO.PA,25291933,1.37218,France,#N/D
1695,Turbo Energy,TURB,24898646,2.26,Spain,electricity
1696,BoomBit,BBT.WA,24789749,1.81743,Poland,entertainment
1697,Games Operators,GOP.WA,24143395,4.3903,Poland,entertainment
1698,A.S. Création Tapeten,ACWN.DE,24141801,8.75861,Germany,#N/D
1699,INTERSHOP Communications,ISHA.DE,24011494,1.64662,Germany,ecommerce
1700,DF Deutsche Forfait AG,DFTK.DE,23877730,2.00864,Germany,financial
1701,Performance Shipping,PSHG,23619936,1.8999,Greece,oil_gas
1702,Pyramid AG,M3BK.DE,23436966,1016,Germany,services
1703,hGears AG,HGEA.DE,23197478,2.23053,Germany,manufacturing
1704,bet-at-home.com,ACX.DE,22784118,3.24653,Germany,internet
1705,Forever Entertainment,8FE.SG,22077629,0.731052,Poland,entertainment
1706,Passat SA,PSAT.PA,22042275,5.60551,France,#N/D
1707,Muehlhan AG,M4N.HM,21917361,1.57655,Germany,energy
1708,Kostad AG,KES.VI,21147836,0.852505,Austria,#N/D
1709,Sporting Clube de Braga,SCB.LS,20880533,17.4004,Portugal,#N/D
1710,Cherry SE,C3RY.DE,20852584,0.899218,Germany,#N/D
1711,5th Planet Games,5PG.OL,20789676,0.0774639,Denmark,entertainment
1712,Verimatrix,VMX.PA,20742331,0.235899,France,sw
1713,Cliq Digital AG,CLIQ.DE,20420007,3.48593,Germany,entertainment
1714,Geratherm Medical,GME.DE,19529247,3.60855,Germany,#N/D
1715,Vivid Games,VVD.WA,18392811,0.331188,Poland,entertainment
1716,VIA optronics AG,VIAO,17465854,0.2231,Germany,tech
1717,Ultimate Games,ULG.WA,17321151,3.31188,Poland,entertainment
1718,Gaming Corps,GCOR.ST,17038210,0.117148,Sweden,entertainment
1719,Big Cheese Studio,BCS.WA,15392321,3.72245,Poland,entertainment
1720,CR Energy,CRZK.DE,15374920,0.653976,Germany,investment
