Rank,Name,Symbol,marketcap,price (USD),country,sector
120,Stellantis,STLA,28473636864,9605,Netherlands,manufacturing
121,Vonovia,VNA.DE,27255546106,32.6171,Germany,real_state
122,Ericsson,ERIC,26351773696,7895,Sweden,tech
123,Philips,PHG,26226898944,27.57,Netherlands,#N/D
124,EnBW Energie,EBK.DE,26065022630,80.3457,Germany,electricity
125,Michelin,ML.PA,25981421275,36.4242,France,#N/D
126,Prysmian Group,PRY.MI,25954168023,89.3145,Italy,#N/D
127,Svenska Handelsbanken,SHB-A.ST,25869058353,12.9126,Sweden,bank
128,ArcelorMittal,MT,25680904192,33105,Luxembourg,#N/D
129,Beiersdorf,BEI.DE,25677172614,115987,Germany,#N/D
130,PKO Bank Polski,PKO.WA,25044407375,20.0355,Poland,bank
131,Dassault Aviation,AM.PA,24995580608,316945,France,manufacturing
132,PKN Orlen,PKN.WA,24842490324,21.3986,Poland,energy
133,Verbund AG,OEWA.F,24809127224,71.2951,Austria,electricity
134,Hapag-Lloyd,HLAG.DE,24774297113,140955,Germany,transportation
135,Cellnex Telecom,CLNX.MC,24705892525,36249,Spain,telecommunication
136,International Consolidated Airlines,BABWF,24685893632,5.33,Spain,transportation
137,Epiroc,EPI-A.ST,24578368435,21.0919,Sweden,manufacturing
138,Capgemini,CAP.PA,24537938826,144867,France,services
139,BioNTech,BNTX,24503871488,101.93,Germany,biotech
140,ABN AMRO,ABN.AS,24412662357,28.6815,Netherlands,bank
141,ASM International,ASM.AS,24351258232,497956,Netherlands,semiconductor
142,Steris,STE,24168607744,245.39,Ireland,#N/D
143,Smurfit Westrock,SW,24038635520,46.04,Ireland,#N/D
144,Veolia,VIE.PA,24012430586,33.0492,France,#N/D
145,MTU Aero Engines,MTX.DE,24000146891,446222,Germany,#N/D
146,H&amp;M,HM-B.ST,23910709740,14.9126,Sweden,clothing
147,Publicis Groupe,PUB.PA,23192536994,92.4676,France,services
148,Nokia,NOK,23049443328,4285,Finland,tech
149,Amer Sports,AS,22853871616,41.21,Finland,#N/D
150,OTP Bank,OTP.BD,22567422804,87.5748,Hungary,bank
151,AerCap,AER,22085476352,123.86,Ireland,#N/D
152,Coloplast,COLO-B.CO,21461004977,95.2269,Denmark,#N/D
153,Banco BPM,BAMI.MI,20991983347,13.6751,Italy,bank
154,BPER Banca,BPE.MI,20774005161,10.3725,Italy,bank
155,Snam,SRG.MI,20573756537,6.13336,Italy,energy
156,Vestas Wind Systems,VWS.CO,20507457720,20.4974,Denmark,electricity
157,Terna,TRN.MI,20248052067,10.0899,Italy,electricity
158,Mediobanca,MB.MI,19871410683,24.2789,Italy,bank
159,Grupo ACS,ACS.MC,19180326079,75.7912,Spain,#N/D
160,Banco Sabadell,SAB.MC,19143136571,3.81058,Spain,bank
161,Hochtief,HOT.F,19051568512,251547,Germany,#N/D
162,Alfa Laval,ALFA.ST,19023480467,46.0254,Sweden,#N/D
163,Tenaris,TS,18933975040,36295,Luxembourg,manufacturing
164,Traton,8TRA.DE,18672866691,37.0197,Germany,#N/D
165,EDP Group,EDP.F,18667815452,4.48324,Portugal,electricity
166,Essity,ESSITY-B.ST,18476974226,26.9018,Sweden,#N/D
167,Repsol,REP.MC,18362533582,16.2735,Spain,energy
168,NN Group,NN.AS,18251346531,68.6675,Netherlands,financial
169,Uniper,UN0.DE,18238716041,43.7931,Germany,electricity
170,KPN,KPN.AS,18214929536,4.75067,Netherlands,telecommunication
171,OMV,OMV.F,18161806621,55.2377,Austria,energy
172,Evolution Gaming,EVO.ST,18134659106,89.7711,Sweden,entertainment
173,Continental,CON.DE,17723292342,88.6138,Germany,#N/D
174,AIB Group (Allied Irish Banks),A5G.IR,17679385785,8.16887,Ireland,bank
175,JDE Peet's,JDEP.AS,17644021133,36.4592,Netherlands,#N/D
176,Aptiv,APTV,17351116800,79.68,Ireland,#N/D
177,Industrivarden,INDU-A.ST,17206788493,39.8303,Sweden,investment
178,Wärtsilä,WRT1V.HE,17090305358,29.0436,Finland,manufacturing
179,Carlsberg,CARL-B.CO,17086784128,122609,Denmark,#N/D
180,Nebius Group (Yandex),NBIS,17078434816,71545,Netherlands,internet
181,Euronext,ENX.PA,16862026184,165363,Netherlands,financial
182,Knorr-Bremse,KBX.DE,16782646153,104111,Germany,manufacturing
183,Bolloré,BOL.PA,16378167945,5.86243,France,#N/D
184,Bouygues,EN.PA,16344056535,42.8938,France,#N/D
185,Investment AB Latour,LATO-B.ST,16335140987,25.5509,Sweden,investment
186,Lifco,LIFCO-B.ST,16298681993,35.8831,Sweden,#N/D
187,bioMérieux,BIM.PA,16277943182,137569,France,biotech
188,Nemetschek,NEM.F,16105509857,138386,Germany,sw
189,Moncler,MONC.MI,16049117508,59.0914,Italy,clothing
190,Tryg,TRYG.CO,15834042140,26.2555,Denmark,insurance
191,Fortum,FORTUM.HE,15513247292,17.2895,Finland,electricity
192,Genmab,GMAB,15456733184,25.13,Denmark,biotech
193,Jerónimo Martins,JEM.F,15249949064,24.1971,Portugal,retail
194,Banca Mediolanum,BMED.MI,15247294293,20.1565,Italy,bank
195,Unipol Assicurazioni,UNI.MI,15230638598,20.9915,Italy,financial
196,Kerry Group,KRZ.IR,15208038369,93.1916,Ireland,food
197,Amundi,AMUN.PA,15172049486,74273,France,investment
198,UPM-Kymmene,UPM.HE,15124462126,28.6815,Finland,manufacturing
199,Unibail-Rodamco-Westfield,URW.PA,14892883623,103071,France,real_state
200,Fresenius Medical Care,FMS,14855439360,25.1121,Germany,healthcare
201,Bank of Ireland Group,BIRG.IR,14795992869,15.0823,Ireland,bank
202,ASR Nederland,ASRNL.AS,14745906198,69.6718,Netherlands,financial
203,Prada,1913.HK,14714125872,5.75036,Italy,clothing
204,Allegion,ALLE,14695202816,171.18,Ireland,#N/D
205,Telia Company,TELIA.ST,14578386321,3.70757,Sweden,telecommunication
206,Powszechny Zakład Ubezpieczeń,PZU.WA,14564155227,16866,Poland,insurance
207,Sartorius,SRT.DE,14390520916,187785,Germany,#N/D
208,Santander Polska,SPL.WA,14376625427,140687,Poland,bank
209,Kingspan Group,KRX.IR,14322955810,78.4188,Ireland,#N/D
210,Neste,NESTE.HE,14269438267,18.5741,Finland,energy
211,Galp Energia,GZ5.F,14099324876,19.0646,Portugal,energy
212,Eurobank Ergasias Services and Holdings,EUROB.AT,13772368359,3.77204,Greece,bank
213,FinecoBank,FBK.MI,13685844365,22.0834,Italy,financial
214,ageas,AGS.BR,13572766686,70828,Belgium,insurance
215,Eurofins Scientific,ERF.PA,13532879357,75.7211,Luxembourg,#N/D
216,Mapfre,MAP.MC,13514676241,4.39799,Spain,financial
217,ICON plc,ICLR,13501236224,173.6,Ireland,biotech
218,Symrise,SY1.DE,13495677890,96.5549,Germany,#N/D
219,Bureau Veritas,BVI.PA,13467986959,30.2698,France,services
220,Bankinter,BKT.MC,13428204864,14.9422,Spain,bank
221,Bank Pekao (Bank Polska Kasa Opieki),PEO.WA,13373108760,50951,Poland,bank
222,Covestro,1COV.F,13189538601,69.8821,Germany,#N/D
223,Porsche SE,PAH3.DE,13114780502,42.8238,Germany,financial
224,Aéroports de Paris,ADP.PA,13099513179,132197,France,#N/D
225,Ørsted,DOGEF,13027284992,31,Denmark,electricity
226,National Bank of Greece,ETE.AT,12924434650,14.2006,Greece,bank
227,Recordati,REC.MI,12722730686,62.0694,Italy,biotech
228,Banco Comercial Português (Millennium bcp),BCP.LS,12706126411,0.851104,Portugal,bank
229,Elia Group,ELI.BR,12677250400,116256,Belgium,electricity
230,SPEEH Hidroelectrica,H2O.RO,12668978706,28.1427,Romania,electricity
231,Lundbergföretagen,LUND-B.ST,12615656923,50.8696,Sweden,investment
232,EDP Renováveis,EDPR.LS,12568664306,11.9584,Spain,electricity
233,DWS Group,DWS.F,12495621046,62.4781,Germany,financial
234,AEGON,AEG,12370285568,7815,Netherlands,insurance
235,Dino Polska,DNP.WA,12102344387,12.3443,Poland,retail
236,Edison,EDNR.MI,12085041649,2.55168,Italy,energy
237,Tele2,TEL2-B.ST,12073619653,17.4086,Sweden,telecommunication
238,Banca Monte dei Paschi di Siena,BMPS.MI,12033515183,9.29581,Italy,bank
239,Accor,AC.PA,12013671372,49.9591,France,#N/D
240,Hensoldt,HAG.F,12009731070,100899,Germany,#N/D
241,AkzoNobel,AKZA.AS,11988695003,69.2748,Netherlands,#N/D
242,GEA Group,G1A.F,11968218591,73514,Germany,#N/D
243,James Hardie Industries,JHX,11964642304,20665,Ireland,#N/D
244,Eiffage,FGR.PA,11921822290,124956,France,#N/D
245,Ascendis Pharma,ASND,11793878016,194765,Denmark,biotech
246,SKF (Svenska Kullagerfabriken),SKF-B.ST,11783598162,25.8781,Sweden,#N/D
247,D'Ieteren Group,DIE.BR,11659191342,219432,Belgium,retail
248,Renault,RNO.PA,11554532395,39.5656,France,manufacturing
249,Ipsen,IPN.PA,11388633153,137685,France,biotech
250,Klépierre,LI.PA,11314507655,38.7948,France,real_state
251,Orion Corporation,ORNAV.HE,11277178233,79.5282,Finland,biotech
252,ING Bank Slaski,ING.WA,11270435464,86629,Poland,bank
253,Alstom,ALO.PA,11250141428,23.9285,France,manufacturing
254,Lufthansa,LHA.DE,11167061460,9.31916,Germany,transportation
255,BE Semiconductor,BESI.AS,11134051422,139846,Netherlands,semiconductor
256,INWIT,INW.MI,11107469037,12157,Italy,telecommunication
257,Acciona,ANA.MC,11030485475,202382,Spain,#N/D
258,GBL,GBLB.VI,10949662062,88.7539,Belgium,#N/D
259,HELLA,HLE.F,10899595721,98.0965,Germany,manufacturing
260,Raiffeisen Bank International,RAW.F,10862927599,33.0959,Austria,bank
261,Metso,METSO.HE,10826723465,13.0795,Finland,manufacturing
262,Strabag,XD4.F,10796487781,92.6077,Austria,#N/D
263,Puig Brands,PUIG.MC,10781836318,19.1405,Spain,#N/D
264,Pandora,PNDORA.CO,10730992774,140728,Denmark,#N/D
265,Telecom Italia,TIT.MI,10674169827,0.483475,Italy,telecommunication
266,Allegro.eu,ALE.WA,10620901460,10.0835,Poland,ecommerce
267,Swedish Orphan Biovitrum,SOBI.ST,10590778641,30.7328,Sweden,biotech
268,Red Eléctrica,RED.MC,10507757569,19.4441,Spain,electricity
269,Deutsche Wohnen,DWNI.DE,10499331662,26451,Germany,real_state
270,mBank,MBK.WA,10499018469,246886,Poland,bank
271,Carrefour,CA.PA,10486530167,14.4926,France,retail
272,CTP N.V.,CTPNV.AS,10477466876,21.8148,Netherlands,real_state
273,Getlink,GET.PA,10340965033,18.9887,France,transportation
274,Skanska,SKA-B.ST,10250042229,24886,Sweden,#N/D
275,BAWAG Group,0B2.F,10243078142,130211,Austria,bank
276,Sofina,SOF.VI,10126428481,305734,Belgium,investment
277,Qiagen,QGEN,9954848768,45.91,Netherlands,biotech
278,Piraeus Financial Holdings,TPEIR.AT,9885526591,7.91545,Greece,bank
279,Boliden,BOL.ST,9801089088,34.5006,Sweden,#N/D
280,Birkenstock,BIRK,9607249920,52.24,Germany,#N/D
281,Rexel,RXL.PA,9601311880,32.3018,France,#N/D
282,Addtech AB,ADDT-B.ST,9581844042,35.5032,Sweden,#N/D
283,Svenska Cellulosa Aktiebolaget (SCA),SCA-B.ST,9562113648,13.6198,Sweden,#N/D
284,Autoliv,ALV,9508731904,123.8,Sweden,#N/D
285,Scout24 (ImmoScout24),G24.F,9487614157,131379,Germany,internet
286,Ayvens,AYV.PA,9393245435,11.3336,France,#N/D
287,Buzzi Unicem,BZU.MI,9318689433,51.4072,Italy,#N/D
288,Alpha Services and Holdings,ALPHA.AT,9289680086,4.01261,Greece,bank
289,Komerční banka,KOMB.PR,9269843568,49.0842,Czech Republic,bank
290,SPIE,SPIE.PA,9252552761,55.0508,France,services
291,Indutrade,INDT.ST,9235719619,25.3504,Sweden,manufacturing
292,Syensqo,SYENS.BR,9218353457,88.6372,Belgium,#N/D
293,Davide Campari-Milano,CPR.MI,9214461588,7.67488,Italy,#N/D
294,Stora Enso,STEAV.HE,9188156638,12.1453,Finland,#N/D
295,Italgas,IG.MI,9165744754,9.03305,Italy,energy
296,Brenntag,BNR.DE,9051251198,62.6883,Germany,#N/D
297,Sodexo,SW.PA,9036055626,60.2593,France,food
298,Evonik Industries,EVK.DE,9033750042,19.3857,Germany,#N/D
299,CTS Eventim,EVD.F,9012846115,93.8923,Germany,entertainment
300,Acciona Energías Renovables,ANE.MC,8938893416,27.5371,Spain,electricity
301,Kesko,KESKOA.HE,8811791494,22.1651,Finland,retail
302,Trelleborg AB,TREL-B.ST,8765625967,38.5638,Sweden,#N/D
303,Securitas AB,SECU-B.ST,8760147175,15.3031,Sweden,#N/D
304,LPP SA,LPP.WA,8727001946,4702.33,Poland,clothing
305,Grifols,GRFS,8700609536,9.97,Spain,biotech
306,Beijer Ref,BEIJ-B.ST,8666696468,17.0972,Sweden,#N/D
307,KION Group,KGX.DE,8636518042,65.8648,Germany,#N/D
308,Ackermans &amp; Van Haaren,ACKB.BR,8560265738,260656,Belgium,#N/D
309,Elisa,ELISA.HE,8544001680,53229,Finland,telecommunication
310,Fastighets AB Balder,BALD-B.ST,8527621441,7.16607,Sweden,real_state
311,Rational AG,RAA.F,8511234416,748569,Germany,#N/D
312,Metlen Energy &amp; Metals,MYTIL.AT,8506406183,61.5439,Greece,#N/D
313,NIBE Industrier,NIBE-B.ST,8449220336,4.19094,Sweden,#N/D
314,Merlin Properties,MRL.MC,8399816548,14.9247,Spain,real_state
315,Financière de Tubize,TUB.BR,8358783602,187785,Belgium,biotech
316,Randstad,RAND.AS,8232494254,46.8527,Netherlands,services
317,Technip Energies,TE.PA,8170604019,46.2455,France,energy
318,Copenhagen Airport,KBHL.CO,8129216056,1035.82,Denmark,#N/D
319,Millicom,TIGO,8108024832,48.54,Luxembourg,telecommunication
320,Demant,DEMANT.CO,8099201602,38.0219,Denmark,#N/D
321,OPAP (Organization of Football Prognostics),OPAP.AT,8069929022,22.5038,Greece,entertainment
322,Rockwool,ROCK-B.CO,8046443662,38.5852,Denmark,manufacturing
323,Brunello Cucinelli,BC.MI,7998059480,117833,Italy,clothing
324,Lotus Bakeries,LOTB.BR,7992874307,9716.22,Belgium,food
325,CPI Property Group,O5G.DE,7965927788,0.951769,Luxembourg,real_state
326,A2A,A2A.MI,7957572436,2.5435,Italy,electricity
327,Fraport,FRA.DE,7957326092,86.1264,Germany,#N/D
328,Delivery Hero,DHER.F,7894128203,26.1474,Germany,food
329,OTE Group,OTE.F,7789484802,18.7551,Greece,telecommunication
330,Sagax,SAGA-B.ST,7773789141,21.6776,Sweden,investment
331,Jazz Pharmaceuticals,JAZZ,7585916928,125059,Ireland,biotech
332,Nexi,NEXI.MI,7533131430,6.35525,Italy,financial
333,InPost,INPST.AS,7509416078,14.9364,Luxembourg,transportation
334,Covivio,COV.PA,7459275594,65.5144,France,real_state
335,AAK,AAK.ST,7429112875,28.6221,Sweden,food
336,AUTO1,AG1.F,7350900566,33.0025,Germany,internet
337,Zalando,ZAL.DE,7346444259,28.3429,Germany,clothing
338,Fincantieri,FCT.MI,7331786218,22.6323,Italy,manufacturing
339,Nordnet AB,SAVE.ST,7308555247,29.2131,Sweden,financial
340,Gecina,GFC.PA,7299268269,97.9213,France,investment
341,Compagnie de l'Odet,ODET.PA,7296021556,1728.37,France,#N/D
342,A1 Telekom Austria,TA1.F,7266703681,10.8724,Austria,telecommunication
343,Romgaz,SNG.RO,7177913557,1.86235,Romania,energy
344,Unicaja Banco,UNI.MC,7143579729,2.78174,Spain,bank
345,RENK Group,R3NK.DE,7097979860,70.9798,Germany,manufacturing
346,PGE Polska,PGE.WA,7071643462,3.15176,Poland,electricity
347,Indra Sistemas,IDR.MC,7068183050,40.2195,Spain,services
348,Andritz,AZ2.F,7024402057,71.5871,Austria,#N/D
349,KGHM Polska Miedź,KGH.WA,7006960250,35.0348,Poland,#N/D
350,Edenred,EDEN.PA,6990312173,28.9151,France,financial
351,Pirelli,PIRC.MI,6986834662,6.87843,Italy,#N/D
352,Compagnie du Cambodge,CBDG.PA,6983331441,115.03,France,investment
353,CD Projekt,CDR.WA,6967873184,69.7412,Poland,tech
354,Vienna Insurance Group,WSV2.F,6958309033,54.3618,Austria,insurance
355,ALK-Abelló,ALK-B.CO,6940473969,31.3251,Denmark,biotech
356,Lottomatica Group,LTMC.MI,6864977107,27.4904,Italy,entertainment
357,MOL Group,MOL.BD,6844142149,8.67514,Hungary,energy
358,Gaztransport & Technigaz,GTT.PA,6838947800,184515,France,#N/D
359,Banca Transilvania,TLV.RO,6838064807,6.27852,Romania,bank
360,Sectra AB,SECT-B.ST,6811822408,35.3554,Sweden,tech
361,LEG Immobilien,LEG.DE,6808232583,84.1411,Germany,real_state
362,Nexans,NEX.PA,6783257410,154852,France,#N/D
363,Axfood,AXFO.ST,6772622288,31.3661,Sweden,retail
364,Grupo Catalana Occidente,GCO.MC,6746730997,57.1645,Spain,insurance
365,Thyssenkrupp,TKA.F,6688419919,10.7439,Germany,manufacturing
366,Banca Generali,BGN.MI,6687809441,58.4491,Italy,bank
367,Konecranes,KCR.HE,6628173369,83.6739,Finland,manufacturing
368,Banca Popolare di Sondrio,BPSO.MI,6627777545,14.4926,Italy,bank
369,IMCD,IMCD.AS,6614045087,112.04,Netherlands,#N/D
370,Ternium,TX,6465404416,32935,Luxembourg,manufacturing
371,Jyske Bank,JYSK.CO,6454217639,108042,Denmark,bank
372,Valmet,VALMT.HE,6409425060,34.7892,Finland,manufacturing
373,Elis,ELIS.PA,6351259277,27.1634,France,services
374,Stevanato Group,STVN,6335981568,23.21,Italy,#N/D
375,Hera Group,HER.MI,6335572812,4.31858,Italy,electricity
376,RTL Group,RRTL.F,6315856955,40.8151,Luxembourg,#N/D
377,Volvo Car,VOLCAR-B.ST,6278138199,2.11816,Sweden,manufacturing
378,IONOS Group,IOS.DE,6242683348,44.9609,Germany,internet
379,Sweco,SWEC-A.ST,6221868837,17.2028,Sweden,services
380,DCC plc,DCC.L,6219622524,63438,Ireland,energy
381,Schaeffler,SHA0.DE,6179324618,6.53976,Germany,manufacturing
382,Public Power Corporation,PPC.AT,6166718643,16.6998,Greece,electricity
383,Oberbank,OBS.VI,6129498043,86.8854,Austria,bank
384,Fomento de Construcciones y Contratas,FCC.MC,6075435196,12846,Spain,#N/D
385,KBC Ancora,KBCA.BR,6069932526,77.7765,Belgium,financial
386,Subsea 7,SUBC.OL,6065407141,20518,Luxembourg,#N/D
387,Lundbeck,HLUN-B.CO,6048795633,6.31821,Denmark,biotech
388,Française des Jeux,FDJ.VI,6029271486,32.6288,France,entertainment
389,Holmen,HOLM-B.ST,6024596452,38.8804,Sweden,#N/D
390,Zabka Group,ZAB.WA,6021606745,6.02161,Poland,retail
391,Warehouses De Pauw,WDP.BR,5993631790,25762,Belgium,real_state
392,Avanza Bank,AZA.ST,5979021412,38.0255,Sweden,bank
393,Nordex,NDX1.F,5948051054,25.0847,Germany,energy
394,Getinge,GETI-B.ST,5927329093,21.7621,Sweden,#N/D
395,Corporación Financiera Alba,ALB.MC,5871019284,97.9515,Spain,investment
396,Scor,SCR.PA,5856767606,32.7455,France,insurance
397,Bechtle,BC8.F,5850657449,46.1988,Germany,services
398,Voestalpine,VAS.F,5841707763,33.3995,Austria,#N/D
399,DiaSorin,DIA.MI,5753453384,100432,Italy,biotech
400,SSAB,SSAB-B.ST,5751832680,5.73074,Sweden,#N/D
401,GamaLife,BTRVB.LS,5749279528,114986,Portugal,insurance
402,Fortnox AB,FNOX.ST,5745976981,9.41177,Sweden,sw
403,Iveco Group,IVG.MI,5731021171,21482,Italy,manufacturing
404,United Internet,UTDI.F,5643612851,31.8346,Germany,internet
405,Fuchs Petrolub,FPE.F,5637164868,37.3701,Germany,oil_gas
406,Ringkjøbing Landbobank,RILBA.CO,5627853042,227506,Denmark,bank
407,Castellum,CAST.ST,5606462704,11.3929,Sweden,real_state
408,Richter Gedeon,RIG2.F,5603617298,30.6435,Hungary,biotech
409,Vopak,VPK.AS,5503862501,48.0439,Netherlands,#N/D
410,Saipem,SPM.MI,5474349704,2.79692,Italy,energy
411,Arkema,AKE.PA,5466201831,71.5871,France,#N/D
412,Fluidra,FDR.MC,5459700035,28.7516,Spain,#N/D
413,Credito Emiliano,CE.MI,5436302777,15.8122,Italy,bank
414,SOL S.p.A.,SOL.MI,5433738292,59.9089,Italy,#N/D
415,Reply,REY.MI,5411281564,145159,Italy,services
416,Fielmann,FIE.F,5373389498,63.2956,Germany,retail
417,Colruyt,COLR.BR,5367607002,44.0033,Belgium,retail
418,De' Longhi,DLG.MI,5338002125,35.5483,Italy,#N/D
419,TUI,TUI1.F,5328537031,10.4519,Germany,#N/D
420,Springer Nature AG,SPG.DE,5295837313,26.5678,Germany,#N/D
421,NKT A/S,NKT.CO,5239630128,98.0277,Denmark,#N/D
422,Technoprobe,TPRO.MI,5220090850,8.03457,Italy,manufacturing
423,Azimut Holding,AZM.MI,5188437495,36.5059,Italy,financial
424,Flughafen Wien (Vienna Airport),FLU.VI,5140770461,61.2911,Austria,#N/D
425,Interpump Group,IP.MI,5127874645,48.0206,Italy,manufacturing
426,Merus,MRUS,5127256064,67.79,Netherlands,biotech
427,Jumbo S.A.,5JB.F,5045334002,35.6417,Greece,retail
428,ACEA,ACE.MI,5033835976,23.6833,Italy,electricity
429,Krones,KRN.F,5010327206,158589,Germany,manufacturing
430,Aurubis,NDA.F,4948138608,113044,Germany,#N/D
431,EVN Group,EVN.F,4861397867,27.2685,Austria,electricity
432,Zealand Pharma,ZEAL.CO,4860942469,69.0653,Denmark,biotech
433,ISS A/S,ISS.CO,4856781450,29.0719,Denmark,#N/D
434,Bank Millennium,MIL.WA,4803850867,3.96331,Poland,bank
435,Alkermes,ALKS,4778182656,28945,Ireland,biotech
436,Maire Tecnimont,MAIRE.MI,4747422110,14.5276,Italy,#N/D
437,Just Eat Takeaway,TKWY.AS,4706679455,23.5665,Netherlands,food
438,Teleperformance,TEP.PA,4571417700,78.5706,France,services
439,Webuild S.p.A.,WBD.MI,4561765756,4.55448,Italy,#N/D
440,Eurazeo,RF.PA,4560438071,65748,France,investment
441,Uniqa Insurance Group,UN9.F,4502448376,14621,Austria,insurance
442,Mycronic,MYCR.ST,4460716959,22.8544,Sweden,manufacturing
443,Carl Zeiss Meditec,AFXA.F,4418704417,49.2818,Germany,#N/D
444,Hiab Oyj,HIAB.HE,4339924101,67.2661,Finland,#N/D
445,Logista (Compañía de Distribución Integral Logista),LOG.MC,4325657101,32.7689,Spain,transportation
446,Aroundtown,AT1.F,4314725306,3.93554,Luxembourg,real_state
447,Vallourec,VK.PA,4302504094,17.9552,France,manufacturing
448,DMG Mori Aktiengesellschaft,GIL.F,4289593179,53.8363,Germany,manufacturing
449,Tauron Polska,TPE.WA,4279788538,2.44204,Poland,electricity
450,VEON,VEON,4276118528,60925,Netherlands,telecommunication
451,Covivio Hotels,COVH.PA,4261940814,26.9765,France,investment
452,Arcadis,ARCAD.AS,4224126777,46736,Netherlands,services
453,Air France-KLM,AF.PA,4223580875,15.9173,France,transportation
454,1&1,1U1.DE,4189775900,23765,Germany,internet
455,VusionGroup,VU.PA,4180686002,250847,France,sw
456,Glanbia plc,GL9.IR,4157334783,16583,Ireland,food
457,Wendel,MF.PA,4120730341,96.7535,France,#N/D
458,Sixt,SIX2.F,4118404726,99.3227,Germany,#N/D
459,Groupe SEB,SK.PA,4100722998,74.8569,France,#N/D
460,Inmobiliaria Colonial,COL.MC,4081286071,6.65071,Spain,investment
461,Enagás,ENG.MC,4066257917,15.6429,Spain,energy
462,Ambu,AMBU-B.CO,4059800345,15.2401,Denmark,#N/D
463,SCHOTT Pharma,1SXP.DE,4045480751,26.8597,Germany,biotech
464,Amplifon,AMP.MI,4019635603,18.2763,Italy,#N/D
465,DEME Group,DEME.BR,4009788736,154619,Belgium,#N/D
466,Alm. Brand,ALMB.CO,3991352303,2.80079,Denmark,financial
467,Shurgard Self Storage,SHUR.BR,3972621350,39.5305,Luxembourg,#N/D
468,Freenet,FNTN.F,3940475308,33.2827,Germany,telecommunication
469,Tikehau Capital,TKO.PA,3939296805,22.8425,France,investment
470,Iren,IRE.MI,3895839886,3.03632,Italy,electricity
471,Umicore,UMI.VI,3871441707,15.9874,Belgium,#N/D
472,Bilfinger,GBF.F,3869520586,103994,Germany,#N/D
473,Brederode,BREB.BR,3860440554,131262,Luxembourg,investment
474,FLSmidth,FLS.CO,3859584030,68.5959,Denmark,#N/D
475,Sydbank A/S,SYDB.CO,3847757572,77.5147,Denmark,bank
476,Royal Unibrew,RBREW.CO,3847598309,77.5772,Denmark,#N/D
477,Wienerberger,WIB.F,3841135469,35.1746,Austria,#N/D
478,Alior Bank S.A.,ALR.WA,3828882518,29328,Poland,bank
479,Aalberts,AALB.AS,3825355130,35.4082,Netherlands,#N/D
480,Wacker Chemie,WCH.F,3802864620,76.5503,Germany,#N/D
481,CIE Automotive,CIE.MC,3781819285,31.5894,Spain,#N/D
482,Azelis Group,AZE.BR,3774553345,15.1466,Belgium,#N/D
483,Budimex,BDX.WA,3772029444,147748,Poland,#N/D
484,Spar Nord Bank A/S,SPNO.CO,3772016451,32.7959,Denmark,bank
485,Athens International Airport,AIA.AT,3752189594,12.5073,Greece,#N/D
486,Bank Handlowy w Warszawie,BHW.WA,3743158245,28.6847,Poland,bank
487,MONETA Money Bank,MONET.PR,3733137886,7.30555,Czech Republic,bank
488,Société Foncière Lyonnaise,FLY.PA,3717447976,86.4183,France,investment
489,Huhtamäki,HUH1V.HE,3716722697,35.4082,Finland,#N/D
490,JCDecaux,DEC.PA,3708225937,17.4004,France,#N/D
491,flatexDEGIRO AG,FTK.DE,3683599651,33.4462,Germany,financial
492,L.D.C. S.A.,LOUP.PA,3667169970,105.57,France,food
493,Jungheinrich,JUN3.F,3666632439,35.8052,Germany,#N/D
494,Sopra Steria Group,SOP.PA,3641672812,188135,France,services
495,Vidrala,VID.MC,3618070168,107906,Spain,manufacturing
496,Asseco,ACP.WA,3613471743,52.9901,Poland,sw
497,Aedifica,AED.BR,3612147758,75.9664,Belgium,real_state
498,Vivendi,VIV.PA,3584803920,3.60271,France,#N/D
499,Solvay,SOLB.VI,3582253188,33.2827,Belgium,#N/D
500,CCC S.A.,CCC.WA,3562978467,46.2569,Poland,#N/D
501,Brembo,BRE.MI,3562194125,11.0884,Italy,manufacturing
502,Kemira,KEMIRA.HE,3560314559,23.2162,Finland,#N/D
503,Pandox AB,PNDX-B.ST,3557202416,18.2793,Sweden,real_state
504,PUMA,PUM.DE,3553419331,24.1504,Germany,clothing
505,ERG,ERG.MI,3551123313,24.4307,Italy,electricity
506,Corporación América Airports,CAAP,3539950336,21.7059,Luxembourg,#N/D
507,Verallia,VRLA.PA,3536373492,29.0319,France,#N/D
508,Laboratorios Farmaceuticos Rovi,ROVI.MC,3485429402,68142,Spain,biotech
509,Mandatum,MANTA.HE,3453069901,6.86909,Finland,financial
510,Technogym,TGYM.MI,3428293538,17.2136,Italy,#N/D
511,Trigano,TRI.PA,3428014010,177625,France,manufacturing
512,HUGO BOSS,BOSS.DE,3420585734,49.5621,Germany,#N/D
513,Groupe Lagardère,MMB.PA,3416477417,24057,France,entertainment
514,Rubis,RUI.PA,3389690543,32.8857,France,energy
515,Cofinimmo,COFB.BR,3382222506,88.8123,Belgium,real_state
516,Orange Polska,OPL.WA,3362160948,2.56192,Poland,telecommunication
517,Sacyr,SCYR.MC,3351964699,4.2345,Spain,#N/D
518,Husqvarna,HUSQ-A.ST,3325357099,5.77296,Sweden,#N/D
519,Rémy Cointreau,RCO.PA,3311408595,63.8211,France,#N/D
520,SYNLAB,SYAB.VI,3310869569,15.0648,Germany,biotech
521,Titan Cement International,TITC.BR,3305009641,44085,Belgium,#N/D
